!Agilent Technologies,E4990A,MY54201829,A.02.20
!Date: Fri Mar 18 03:39:53 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data
+8.43171300000e+004, +6.44525649386e+001
+8.51220560000e+004, +6.50697667887e+001
+8.59346660000e+004, +6.56941674531e+001
+8.67550330000e+004, +6.63238754962e+001
+8.75832320000e+004, +6.69597719683e+001
+8.84193370000e+004, +6.76022672533e+001
+8.92634240000e+004, +6.82503810608e+001
+9.01155690000e+004, +6.89044700799e+001
+9.09758490000e+004, +6.95646196461e+001
+9.18443410000e+004, +7.02315979729e+001
+9.27211250000e+004, +7.09059609268e+001
+9.36062780000e+004, +7.15862486884e+001
+9.44998820000e+004, +7.22738771274e+001
+9.54020160000e+004, +7.29666484548e+001
+9.63127630000e+004, +7.36672262211e+001
+9.72322040000e+004, +7.43739249779e+001
+9.81604220000e+004, +7.50872610808e+001
+9.90975010000e+004, +7.58079066919e+001
+1.00043526000e+005, +7.65351549412e+001
+1.00998583000e+005, +7.72714242292e+001
+1.01962756000e+005, +7.80131739384e+001
+1.02936134000e+005, +7.87629782893e+001
+1.03918804000e+005, +7.95183257017e+001
+1.04910856000e+005, +8.02820365106e+001
+1.05912377000e+005, +8.10549028151e+001
+1.06923460000e+005, +8.18332092114e+001
+1.07944195000e+005, +8.26200844580e+001
+1.08974674000e+005, +8.34144504207e+001
+1.10014991000e+005, +8.42173691580e+001
+1.11065239000e+005, +8.50266004631e+001
+1.12125513000e+005, +8.58432950932e+001
+1.13195908000e+005, +8.66707873012e+001
+1.14276523000e+005, +8.75036161639e+001
+1.15367453000e+005, +8.83468414085e+001
+1.16468797000e+005, +8.91953139480e+001
+1.17580656000e+005, +9.00539384657e+001
+1.18703129000e+005, +9.09209129114e+001
+1.19836317000e+005, +9.17973262720e+001
+1.20980323000e+005, +9.26801552680e+001
+1.22135251000e+005, +9.35742840831e+001
+1.23301204000e+005, +9.44746030536e+001
+1.24478287000e+005, +9.53857423668e+001
+1.25666608000e+005, +9.63051415743e+001
+1.26866272000e+005, +9.72340285695e+001
+1.28077389000e+005, +9.81711542089e+001
+1.29300068000e+005, +9.91178859778e+001
+1.30534419000e+005, +1.00074581190e+002
+1.31780554000e+005, +1.01038255305e+002
+1.33038585000e+005, +1.02013141155e+002
+1.34308625000e+005, +1.02997682722e+002
+1.35590790000e+005, +1.03991468501e+002
+1.36885195000e+005, +1.04997370830e+002
+1.38191957000e+005, +1.06010138470e+002
+1.39511193000e+005, +1.07033167133e+002
+1.40843024000e+005, +1.08068249226e+002
+1.42187569000e+005, +1.09111801881e+002
+1.43544949000e+005, +1.10167843243e+002
+1.44915288000e+005, +1.11231483817e+002
+1.46298708000e+005, +1.12306831153e+002
+1.47695335000e+005, +1.13392951545e+002
+1.49105295000e+005, +1.14490124725e+002
+1.50528715000e+005, +1.15599340519e+002
+1.51965723000e+005, +1.16718195638e+002
+1.53416450000e+005, +1.17848054622e+002
+1.54881026000e+005, +1.18989398741e+002
+1.56359583000e+005, +1.20143095774e+002
+1.57852255000e+005, +1.21307360768e+002
+1.59359177000e+005, +1.22482762143e+002
+1.60880485000e+005, +1.23668711985e+002
+1.62416315000e+005, +1.24869665497e+002
+1.63966808000e+005, +1.26081302591e+002
+1.65532102000e+005, +1.27304683854e+002
+1.67112338000e+005, +1.28542248547e+002
+1.68707661000e+005, +1.29789454071e+002
+1.70318213000e+005, +1.31051628730e+002
+1.71944140000e+005, +1.32325559652e+002
+1.73585588000e+005, +1.33609686822e+002
+1.75242707000e+005, +1.34910768859e+002
+1.76915645000e+005, +1.36223665663e+002
+1.78604554000e+005, +1.37547646517e+002
+1.80309586000e+005, +1.38887023366e+002
+1.82030895000e+005, +1.40240284549e+002
+1.83768636000e+005, +1.41607982593e+002
+1.85522966000e+005, +1.42986522530e+002
+1.87294044000e+005, +1.44381357385e+002
+1.89082029000e+005, +1.45788387290e+002
+1.90887083000e+005, +1.47214973032e+002
+1.92709369000e+005, +1.48652696753e+002
+1.94549051000e+005, +1.50101272283e+002
+1.96406295000e+005, +1.51575562732e+002
+1.98281270000e+005, +1.53052258123e+002
+2.00174143000e+005, +1.54550192241e+002
+2.02085087000e+005, +1.56063182770e+002
+2.04014274000e+005, +1.57591573914e+002
+2.05961877000e+005, +1.59139258388e+002
+2.07928073000e+005, +1.60699087626e+002
+2.09913039000e+005, +1.62269163879e+002
+2.11916954000e+005, +1.63860844018e+002
+2.13940000000e+005, +1.65472548672e+002
+2.15982358000e+005, +1.67096364603e+002
+2.18044214000e+005, +1.68743912360e+002
+2.20125752000e+005, +1.70394865042e+002
+2.22227162000e+005, +1.72072379920e+002
+2.24348633000e+005, +1.73766003422e+002
+2.26490357000e+005, +1.75479081530e+002
+2.28652526000e+005, +1.77208201524e+002
+2.30835336000e+005, +1.78957083045e+002
+2.33038984000e+005, +1.80726896669e+002
+2.35263669000e+005, +1.82508637476e+002
+2.37509592000e+005, +1.84315114241e+002
+2.39776955000e+005, +1.86136529211e+002
+2.42065964000e+005, +1.87980088181e+002
+2.44376824000e+005, +1.89841455855e+002
+2.46709744000e+005, +1.91728042954e+002
+2.49064936000e+005, +1.93627660364e+002
+2.51442611000e+005, +1.95550322564e+002
+2.53842985000e+005, +1.97488781712e+002
+2.56266273000e+005, +1.99448679017e+002
+2.58712696000e+005, +2.01435345460e+002
+2.61182472000e+005, +2.03443483251e+002
+2.63675826000e+005, +2.05466148925e+002
+2.66192983000e+005, +2.07522625119e+002
+2.68734170000e+005, +2.09594757566e+002
+2.71299616000e+005, +2.11688203872e+002
+2.73889552000e+005, +2.13795852663e+002
+2.76504213000e+005, +2.15943748536e+002
+2.79143835000e+005, +2.18103099772e+002
+2.81808656000e+005, +2.20287436532e+002
+2.84498916000e+005, +2.22502257237e+002
+2.87214858000e+005, +2.24736895847e+002
+2.89956728000e+005, +2.26995817132e+002
+2.92724773000e+005, +2.29285990776e+002
+2.95519243000e+005, +2.31592962620e+002
+2.98340390000e+005, +2.33931219006e+002
+3.01188469000e+005, +2.36292414742e+002
+3.04063737000e+005, +2.38679919480e+002
+3.06966453000e+005, +2.41094020604e+002
+3.09896880000e+005, +2.43540293749e+002
+3.12855281000e+005, +2.46006823783e+002
+3.15841925000e+005, +2.48512810119e+002
+3.18857081000e+005, +2.51034248237e+002
+3.21901020000e+005, +2.53583808625e+002
+3.24974019000e+005, +2.56178635868e+002
+3.28076353000e+005, +2.58789879405e+002
+3.31208303000e+005, +2.61444452596e+002
+3.34370152000e+005, +2.64104390928e+002
+3.37562186000e+005, +2.66818158598e+002
+3.40784692000e+005, +2.69555834776e+002
+3.44037962000e+005, +2.72323463883e+002
+3.47322288000e+005, +2.75131676136e+002
+3.50637968000e+005, +2.77962968538e+002
+3.53985301000e+005, +2.80832857136e+002
+3.57364588000e+005, +2.83737919818e+002
+3.60776136000e+005, +2.86669052678e+002
+3.64220252000e+005, +2.89640954970e+002
+3.67697247000e+005, +2.92653063546e+002
+3.71207435000e+005, +2.95697396757e+002
+3.74751132000e+005, +2.98779101757e+002
+3.78328659000e+005, +3.01893947855e+002
+3.81940338000e+005, +3.05056159921e+002
+3.85586496000e+005, +3.08241085165e+002
+3.89267462000e+005, +3.11477854834e+002
+3.92983567000e+005, +3.14747738106e+002
+3.96735148000e+005, +3.18068044421e+002
+4.00522544000e+005, +3.21413306100e+002
+4.04346095000e+005, +3.24823913497e+002
+4.08206147000e+005, +3.28243534237e+002
+4.12103049000e+005, +3.31734447829e+002
+4.16037153000e+005, +3.35271394752e+002
+4.20008813000e+005, +3.38843401740e+002
+4.24018388000e+005, +3.42472854577e+002
+4.28066240000e+005, +3.46128905297e+002
+4.32152735000e+005, +3.49826881036e+002
+4.36278241000e+005, +3.53616675792e+002
+4.40443130000e+005, +3.57415499736e+002
+4.44647780000e+005, +3.61287036880e+002
+4.48892568000e+005, +3.65210062336e+002
+4.53177880000e+005, +3.69183453940e+002
+4.57504100000e+005, +3.73177040307e+002
+4.61871621000e+005, +3.77273349478e+002
+4.66280835000e+005, +3.81374206501e+002
+4.70732142000e+005, +3.85560753200e+002
+4.75225942000e+005, +3.89795184860e+002
+4.79762643000e+005, +3.94108433030e+002
+4.84342652000e+005, +3.98478163035e+002
+4.88966384000e+005, +4.02898372078e+002
+4.93634256000e+005, +4.07379891628e+002
+4.98346690000e+005, +4.11932815804e+002
+5.03104110000e+005, +4.16544465313e+002
+5.07906947000e+005, +4.21207792266e+002
+5.12755633000e+005, +4.25952011012e+002
+5.17650607000e+005, +4.30797693073e+002
+5.22592311000e+005, +4.35630787895e+002
+5.27581190000e+005, +4.40625108647e+002
+5.32617695000e+005, +4.45632596686e+002
+5.37702280000e+005, +4.50758663006e+002
+5.42835405000e+005, +4.55950947402e+002
+5.48017533000e+005, +4.61208962472e+002
+5.53249131000e+005, +4.66570945759e+002
+5.58530672000e+005, +4.72029877905e+002
+5.63862634000e+005, +4.77493228944e+002
+5.69245496000e+005, +4.83119492135e+002
+5.74679745000e+005, +4.88817628395e+002
+5.80165872000e+005, +4.94553685773e+002
+5.85704371000e+005, +5.00437998829e+002
+5.91295744000e+005, +5.06426303050e+002
+5.96940494000e+005, +5.12466680189e+002
+6.02639131000e+005, +5.18632442912e+002
+6.08392169000e+005, +5.24929671589e+002
+6.14200128000e+005, +5.31286505868e+002
+6.20063533000e+005, +5.37793433628e+002
+6.25982912000e+005, +5.44348310772e+002
+6.31958799000e+005, +5.51086721849e+002
+6.37991735000e+005, +5.57903520922e+002
+6.44082264000e+005, +5.64860277856e+002
+6.50230936000e+005, +5.71924308410e+002
+6.56438305000e+005, +5.79087530501e+002
+6.62704932000e+005, +5.86432673095e+002
+6.69031383000e+005, +5.93890431421e+002
+6.75418229000e+005, +6.01543425341e+002
+6.81866047000e+005, +6.09257314735e+002
+6.88375417000e+005, +6.17154984814e+002
+6.94946929000e+005, +6.25195641904e+002
+7.01581176000e+005, +6.33397412158e+002
+7.08278755000e+005, +6.41757648232e+002
+7.15040272000e+005, +6.50275795911e+002
+7.21866338000e+005, +6.58974523596e+002
+7.28757568000e+005, +6.67837402299e+002
+7.35714584000e+005, +6.76880934006e+002
+7.42738015000e+005, +6.86123452190e+002
+7.49828495000e+005, +6.95559783074e+002
+7.56986663000e+005, +7.05185550675e+002
+7.64213166000e+005, +7.15013322630e+002
+7.71508656000e+005, +7.25066571074e+002
+7.78873791000e+005, +7.35348033688e+002
+7.86309238000e+005, +7.45855693378e+002
+7.93815666000e+005, +7.56597975783e+002
+8.01393753000e+005, +7.67580461988e+002
+8.09044184000e+005, +7.78815295081e+002
+8.16767649000e+005, +7.90319116592e+002
+8.24564846000e+005, +8.02100255700e+002
+8.32436477000e+005, +8.14157718240e+002
+8.40383255000e+005, +8.26519978981e+002
+8.48405895000e+005, +8.39190646479e+002
+8.56505124000e+005, +8.52175859631e+002
+8.64681670000e+005, +8.65490653723e+002
+8.72936273000e+005, +8.79158777506e+002
+8.81269678000e+005, +8.93171754124e+002
+8.89682637000e+005, +9.07563445535e+002
+8.98175910000e+005, +9.22351620800e+002
+9.06750263000e+005, +9.37546711711e+002
+9.15406470000e+005, +9.53164279570e+002
+9.24145313000e+005, +9.69229210048e+002
+9.32967580000e+005, +9.85762322451e+002
+9.41874069000e+005, +1.00277396812e+003
+9.50865582000e+005, +1.02030541518e+003
+9.59942932000e+005, +1.03835993748e+003
+9.69106938000e+005, +1.05696922824e+003
+9.78358427000e+005, +1.07616718394e+003
+9.87698235000e+005, +1.09597217573e+003
+9.97127204000e+005, +1.11647486191e+003
+1.00664618600e+006, +1.13761831000e+003
+1.01625604100e+006, +1.15946279349e+003
+1.02595763500e+006, +1.18211061000e+003
+1.03575184400e+006, +1.20552311995e+003
+1.04563955300e+006, +1.22975874871e+003
+1.05562165300e+006, +1.25493865283e+003
+1.06569904700e+006, +1.28101092258e+003
+1.07587264400e+006, +1.30808348877e+003
+1.08614336300e+006, +1.33623334041e+003
+1.09651212900e+006, +1.36547386279e+003
+1.10697988000e+006, +1.39596373660e+003
+1.11754756100e+006, +1.42768695423e+003
+1.12821612500e+006, +1.46070556064e+003
+1.13898653500e+006, +1.49525493616e+003
+1.14985976400e+006, +1.53122219841e+003
+1.16083679400e+006, +1.56895331057e+003
+1.17191861400e+006, +1.60843584357e+003
+1.18310622700e+006, +1.64977992995e+003
+1.19440064000e+006, +1.69325481328e+003
+1.20580287500e+006, +1.73883600151e+003
+1.21731396000e+006, +1.78691581822e+003
+1.22893493500e+006, +1.83735689219e+003
+1.24066684800e+006, +1.89069957636e+003
+1.25251075900e+006, +1.94702563897e+003
+1.26446773600e+006, +2.00668557365e+003
+1.27653886000e+006, +2.07003924907e+003
+1.28872522000e+006, +2.13726365967e+003
+1.30102791500e+006, +2.20875518460e+003
+1.31344805700e+006, +2.28494437378e+003
+1.32598676700e+006, +2.36652868018e+003
+1.33864517700e+006, +2.45388906481e+003
+1.35142442800e+006, +2.54765696480e+003
+1.36432567600e+006, +2.64868928711e+003
+1.37735008400e+006, +2.75800930500e+003
+1.39049882900e+006, +2.87615977402e+003
+1.40377309700e+006, +3.00487434215e+003
+1.41717408600e+006, +3.14515736614e+003
+1.43070300700e+006, +3.29889943510e+003
+1.44436108000e+006, +3.46800443465e+003
+1.45814953900e+006, +3.65483306778e+003
+1.47206962800e+006, +3.86304924781e+003
+1.48612260400e+006, +4.09544074378e+003
+1.50030973500e+006, +4.35776741309e+003
+1.51463230300e+006, +4.65150397660e+003
+1.52909159900e+006, +4.99299509910e+003
+1.54368893000e+006, +5.37925720996e+003
+1.55842561300e+006, +5.83701712988e+003
+1.57330297900e+006, +6.36304135223e+003
+1.58832236900e+006, +7.00040454828e+003
+1.60348514100e+006, +7.76147467165e+003
+1.61879266300e+006, +8.71614772860e+003
+1.63424631700e+006, +9.90147383201e+003
+1.64984749700e+006, +1.14114471639e+004
+1.66559761300e+006, +1.33837282148e+004
+1.68149808600e+006, +1.58874916174e+004
+1.69755035100e+006, +1.90843699480e+004
+1.71375585800e+006, +2.25222573155e+004
+1.73011606900e+006, +2.45510208836e+004
+1.74663246100e+006, +2.38317548688e+004
+1.76330652600e+006, +2.07389753683e+004
+1.78013976800e+006, +1.73273512252e+004
+1.79713370700e+006, +1.44443440868e+004
+1.81428987700e+006, +1.22428633035e+004
+1.83160982600e+006, +1.05359134056e+004
+1.84909511900e+006, +9.19936546463e+003
+1.86674733400e+006, +8.14602598696e+003
+1.88456806400e+006, +7.29894773958e+003
+1.90255891800e+006, +6.60939265460e+003
+1.92072152000e+006, +6.02522949486e+003
+1.93905750900e+006, +5.53546779477e+003
+1.95756854200e+006, +5.11506792023e+003
+1.97625628800e+006, +4.75952227017e+003
+1.99512243500e+006, +4.43964212305e+003
+2.01416868600e+006, +4.16660973618e+003
+2.03339676000e+006, +3.91926065730e+003
+2.05280839300e+006, +3.69902337420e+003
+2.07240533800e+006, +3.50268722457e+003
+2.09218936300e+006, +3.32638624176e+003
+2.11216225400e+006, +3.16458716098e+003
+2.13232581500e+006, +3.01805480653e+003
+2.15268186500e+006, +2.88379126978e+003
+2.17323224200e+006, +2.76059044946e+003
+2.19397880200e+006, +2.64648311460e+003
+2.21492341700e+006, +2.54234768355e+003
+2.23606797700e+006, +2.44439299931e+003
+2.25741439300e+006, +2.35423313644e+003
+2.27896458900e+006, +2.26932098947e+003
+2.30072051300e+006, +2.19090494798e+003
+2.32268412800e+006, +2.11689773650e+003
+2.34485741600e+006, +2.04728633125e+003
+2.36724237900e+006, +1.98214022096e+003
+2.38984103900e+006, +1.92065944176e+003
+2.41265543400e+006, +1.86334437499e+003
+2.43568762500e+006, +1.80821249591e+003
+2.45893969100e+006, +1.75596393385e+003
+2.48241373000e+006, +1.70728030524e+003
+2.50611186200e+006, +1.66022213886e+003
+2.53003622600e+006, +1.61545669957e+003
+2.55418898200e+006, +1.57307861288e+003
+2.57857230900e+006, +1.53274567870e+003
+2.60318841000e+006, +1.49403884838e+003
+2.62803950700e+006, +1.45706176415e+003
+2.65312784200e+006, +1.42152749116e+003
+2.67845568000e+006, +1.38735518698e+003
+2.70402530800e+006, +1.35491912212e+003
+2.72983903500e+006, +1.32381765940e+003
+2.75589918900e+006, +1.29364759491e+003
+2.78220812500e+006, +1.26466588874e+003
+2.80876821600e+006, +1.23701128730e+003
+2.83558186100e+006, +1.21038786751e+003
+2.86265148000e+006, +1.18444514790e+003
+2.88997951600e+006, +1.15933059312e+003
+2.91756843700e+006, +1.13538464632e+003
+2.94542073300e+006, +1.11235195972e+003
+2.97353891800e+006, +1.08982524880e+003
+3.00192553100e+006, +1.06803015108e+003
+3.03058313400e+006, +1.04691920296e+003
+3.05951431500e+006, +1.02642312563e+003
+3.08872168400e+006, +1.00682297048e+003
+3.11820787800e+006, +9.87485936860e+002
+3.14797556000e+006, +9.68998907824e+002
+3.17802741600e+006, +9.50901596043e+002
+3.20836616000e+006, +9.33386891574e+002
+3.23899452900e+006, +9.16566099638e+002
+3.26991528900e+006, +8.99976046057e+002
+3.30113123200e+006, +8.83805193283e+002
+3.33264517400e+006, +8.68281190149e+002
+3.36445996200e+006, +8.52911437358e+002
+3.39657846600e+006, +8.38071964329e+002
+3.42900358700e+006, +8.23500249899e+002
+3.46173825100e+006, +8.09457809715e+002
+3.49478541400e+006, +7.95740299701e+002
+3.52814805800e+006, +7.82299777932e+002
+3.56182919500e+006, +7.69272502402e+002
+3.59583186700e+006, +7.56472326704e+002
+3.63015914200e+006, +7.43981549573e+002
+3.66481411900e+006, +7.31823892282e+002
+3.69979992600e+006, +7.19847063177e+002
+3.73511972200e+006, +7.08287827243e+002
+3.77077669600e+006, +6.96856711815e+002
+3.80677406500e+006, +6.85795559435e+002
+3.84311508000e+006, +6.74945426402e+002
+3.87980302100e+006, +6.64326236811e+002
+3.91684120000e+006, +6.53922236478e+002
+3.95423296000e+006, +6.43780505460e+002
+3.99198167800e+006, +6.33770048700e+002
+4.03009076000e+006, +6.24104453945e+002
+4.06856364700e+006, +6.14541431091e+002
+4.10740381200e+006, +6.05169680018e+002
+4.14661476100e+006, +5.95975470698e+002
+4.18620003300e+006, +5.86969516782e+002
+4.22616320300e+006, +5.78144448282e+002
+4.26650787700e+006, +5.69438591949e+002
+4.30723769800e+006, +5.61117415161e+002
+4.34835634300e+006, +5.52784892201e+002
+4.38986752200e+006, +5.44527852199e+002
+4.43177498500e+006, +5.36482247232e+002
+4.47408251300e+006, +5.28560674423e+002
+4.51679392600e+006, +5.20753349082e+002
+4.55991307900e+006, +5.13130759988e+002
+4.60344386600e+006, +5.05622831950e+002
+4.64739021500e+006, +4.98239532313e+002
+4.69175609400e+006, +4.91020581574e+002
+4.73654550700e+006, +4.83855789525e+002
+4.78176249900e+006, +4.77058195138e+002
+4.82741115000e+006, +4.70108321113e+002
+4.87349558200e+006, +4.63288114579e+002
+4.92001995500e+006, +4.56632458561e+002
+4.96698846800e+006, +4.50017219258e+002
+5.01440536200e+006, +4.43523660365e+002
+5.06227491700e+006, +4.37144709476e+002
+5.11060145400e+006, +4.30843813222e+002
+5.15938933600e+006, +4.24637501961e+002
+5.20864296700e+006, +4.18503517413e+002
+5.25836679300e+006, +4.12468013642e+002
+5.30856530300e+006, +4.06481361210e+002
+5.35924302800e+006, +4.00653600898e+002
+5.41040454400e+006, +3.94886130593e+002
+5.46205446800e+006, +3.89156052341e+002
+5.51419746400e+006, +3.83490480359e+002
+5.56683823700e+006, +3.77955695215e+002
+5.61998154100e+006, +3.72466213036e+002
+5.67363217300e+006, +3.67027143672e+002
+5.72779497500e+006, +3.61705646062e+002
+5.78247483800e+006, +3.56403760136e+002
+5.83767669600e+006, +3.51184327897e+002
+5.89340553500e+006, +3.45993063343e+002
+5.94966638300e+006, +3.40946658772e+002
+6.00646432000e+006, +3.35886147966e+002
+6.06380447400e+006, +3.30914725240e+002
+6.12169202000e+006, +3.25965137696e+002
+6.18013218400e+006, +3.21128021806e+002
+6.23913024100e+006, +3.16290157114e+002
+6.29869151800e+006, +3.11537709566e+002
+6.35882139200e+006, +3.06804536910e+002
+6.41952528900e+006, +3.02124878225e+002
+6.48080869100e+006, +2.97545473679e+002
+6.54267712900e+006, +2.92998578862e+002
+6.60513618800e+006, +2.88456490929e+002
+6.66819150700e+006, +2.83993181869e+002
+6.73184877800e+006, +2.79558168034e+002
+6.79611374600e+006, +2.75167024363e+002
+6.86099221500e+006, +2.70848033269e+002
+6.92649003900e+006, +2.66522199129e+002
+6.99261313300e+006, +2.62276293067e+002
+7.05936746400e+006, +2.58061633979e+002
+7.12675906000e+006, +2.53864838129e+002
+7.19479400300e+006, +2.49711052699e+002
+7.26347843600e+006, +2.45607919873e+002
+7.33281855700e+006, +2.41533102063e+002
+7.40282062800e+006, +2.37504682032e+002
+7.47349096800e+006, +2.33497434168e+002
+7.54483595500e+006, +2.29517138462e+002
+7.61686203000e+006, +2.25579913662e+002
+7.68957569600e+006, +2.21655563234e+002
+7.76298351600e+006, +2.17773238686e+002
+7.83709211600e+006, +2.13918435481e+002
+7.91190818800e+006, +2.10101828707e+002
+7.98743848400e+006, +2.06296609663e+002
+8.06368982400e+006, +2.02528255219e+002
+8.14066908900e+006, +1.98793979935e+002
+8.21838323000e+006, +1.95064450551e+002
+8.29683926200e+006, +1.91378662869e+002
+8.37604426700e+006, +1.87713635039e+002
+8.45600539600e+006, +1.84069795338e+002
+8.53672986500e+006, +1.80446765445e+002
+8.61822496400e+006, +1.76858497985e+002
+8.70049804700e+006, +1.73280859256e+002
+8.78355654400e+006, +1.69731808945e+002
+8.86740795000e+006, +1.66196393617e+002
+8.95205983600e+006, +1.62685320917e+002
+9.03751984300e+006, +1.59188477366e+002
+9.12379568700e+006, +1.55720071699e+002
+9.21089515500e+006, +1.52260558128e+002
+9.29882610900e+006, +1.48827561880e+002
+9.38759648900e+006, +1.45409479623e+002
+9.47721430600e+006, +1.42003260424e+002
+9.56768765200e+006, +1.38621581035e+002
+9.65902469300e+006, +1.35250637572e+002
+9.75123367500e+006, +1.31901051583e+002
+9.84432292100e+006, +1.28583486765e+002
+9.93830083500e+006, +1.25290247134e+002
+1.00331759000e+007, +1.22025769612e+002
+1.01289566820e+007, +1.18801338382e+002
+1.02256518260e+007, +1.15614933423e+002
+1.03232700610e+007, +1.12450051887e+002
+1.04218201990e+007, +1.09285155107e+002
+1.05213111370e+007, +1.06113013359e+002
+1.06217518560e+007, +1.02916905504e+002
+1.07231514230e+007, +9.97111102953e+001
+1.08255189920e+007, +9.64977723525e+001
+1.09288638030e+007, +9.32790230490e+001
+1.10331951860e+007, +9.00620837270e+001
+1.11385225590e+007, +8.68571456087e+001
+1.12448554290e+007, +8.36583244405e+001
+1.13522033970e+007, +8.04680516477e+001
+1.14605761510e+007, +7.72910301229e+001
+1.15699834770e+007, +7.41204556107e+001
+1.16804352490e+007, +7.09664584619e+001
+1.17919414390e+007, +6.78260383603e+001
+1.19045121120e+007, +6.46975545783e+001
+1.20181574310e+007, +6.15852534850e+001
+1.21328876540e+007, +5.84899541538e+001
+1.22487131380e+007, +5.54173504715e+001
+1.23656443400e+007, +5.23704327745e+001
+1.24836918150e+007, +4.93558198739e+001
+1.26028662190e+007, +4.63745009724e+001
+1.27231783100e+007, +4.34471860024e+001
+1.28446389490e+007, +4.05778341671e+001
+1.29672591020e+007, +3.77881745932e+001
+1.30910498360e+007, +3.51016956755e+001
+1.32160223270e+007, +3.25493018126e+001
+1.33421878560e+007, +3.01730932431e+001
+1.34695578120e+007, +2.80254641194e+001
+1.35981436940e+007, +2.61809790484e+001
+1.37279571090e+007, +2.47201840874e+001
+1.38590097760e+007, +2.37344569586e+001
+1.39913135250e+007, +2.33083224687e+001
+1.41248803000e+007, +2.34987974355e+001
+1.42597221570e+007, +2.43228946533e+001
+1.43958512700e+007, +2.57539171533e+001
+1.45332799260e+007, +2.77362466213e+001
+1.46720205330e+007, +3.02093123240e+001
+1.48120856130e+007, +3.31056021588e+001
+1.49534878120e+007, +3.63713169594e+001
+1.50962398940e+007, +3.99748964356e+001
+1.52403547460e+007, +4.38879596207e+001
+1.53858453760e+007, +4.80965984639e+001
+1.55327249190e+007, +5.26030955628e+001
+1.56810066340e+007, +5.74007138565e+001
+1.58307039070e+007, +6.25019530713e+001
+1.59818302510e+007, +6.79052977395e+001
+1.61343993080e+007, +7.35987664343e+001
+1.62884248520e+007, +7.95387480931e+001
+1.64439207860e+007, +8.56427716477e+001
+1.66009011480e+007, +9.17340166747e+001
+1.67593801080e+007, +9.75096355351e+001
+1.69193719730e+007, +1.02513556094e+002
+1.70808911860e+007, +1.06134478959e+002
+1.72439523260e+007, +1.07758535190e+002
+1.74085701150e+007, +1.06995642416e+002
+1.75747594120e+007, +1.03957379382e+002
+1.77425352190e+007, +9.93077709680e+001
+1.79119126830e+007, +9.40076249623e+001
+1.80829070930e+007, +8.90032168454e+001
+1.82555338850e+007, +8.49413831097e+001
+1.84298086430e+007, +8.21666097095e+001
+1.86057470990e+007, +8.07485546593e+001
+1.87833651350e+007, +8.05787903568e+001
+1.89626787850e+007, +8.14742976271e+001
+1.91437042360e+007, +8.32369965859e+001
+1.93264578290e+007, +8.56829657900e+001
